"Match","Position","Points"
"1","7","1"
"2","4","4"
"3","2","7"
"4","7","7"
"5","8","8"
"6","5","11"
"7","7","12"
"8","8","13"
"9","9","13"
"10","6","16"
"11","6","19"
"12","5","22"
"13","5","23"
"14","5","26"
"15","4","29"
"16","4","30"
"17","5","31"
"18","4","34"
"19","4","35"
"20","4","38"
"21","4","41"
"22","4","44"
"23","3","47"
"24","4","47"
"25","4","50"
"26","3","51"
"27","3","54"
"28","2","57"
"29","2","60"
"30","3","60"
"31","3","63"
"32","3","66"
"33","3","67"
"34","3","70"
"35","3","71"
"36","3","72"
"37","3","72"
"38","4","75"
