"Match","Position","Points"
"1","1","3"
"2","2","6"
"3","1","9"
"4","1","12"
"5","2","15"
"6","1","18"
"7","2","19"
"8","3","20"
"9","2","23"
"10","1","26"
"11","1","27"
"12","2","30"
"13","2","33"
"14","2","36"
"15","2","39"
"16","1","42"
"17","1","45"
"18","1","48"
"19","1","51"
"20","1","54"
"21","1","54"
"22","1","57"
"23","1","60"
"24","1","61"
"25","1","62"
"26","1","65"
"27","1","66"
"28","1","69"
"29","2","70"
"30","2","73"
"31","1","76"
"32","1","79"
"33","1","82"
"34","1","85"
"35","1","88"
"36","1","91"
"37","1","94"
"38","2","97"
