"Date","Status","Home","Score","","Away","Attd"
"2/3/2024","FT","Brentford","2","2","Chelsea","17,140"
"","","Roerslev Rasmussen (50'), Wissa (69')","","","Jackson (35'), Disasi (84')",""
"2/3/2024","FT","Everton","1","3","West Ham United","39,262"
"","","","","","Zouma (62'), Soucek (90+1'), Alvarez (90+6')",""
"2/3/2024","FT","Fulham","3","0","Brighton & Hove Albion","24,460"
"","","Wilson (22'), Muniz (33'), Traore (90+1')","","","",""
"2/3/2024","FT","Luton Town","2","3","Aston Villa","11,594"
"","","Chong (66'), Morris (72')","","","Watkins (24', 40'), Digne (89')",""
"2/3/2024","FT","Newcastle United","3","0","Wolverhampton Wanderers","52,206"
"","","Isak (14'), Gordon (33'), Livramento (90+2')","","","",""
"2/3/2024","FT","Nottingham Forest","0","1","Liverpool","29,603"
"","","","","","Nuñez (90+9')",""
"2/3/2024","FT","Tottenham Hotspur","3","1","Crystal Palace","61,339"
"","","Werner (78'), Romero (81'), Son (88')","","","Eze (59')",""
"3/3/2024","FT","Burnley","0","2","AFC Bournemouth","19,713"
"","","","","","Kluivert (13'), Semenyo (88')",""
"3/3/2024","FT","Manchester City","3","1","Manchester United","53,521"
"","","Foden (56', 80'), Braut Haaland (90+1')","","","Rashford (8')",""
"4/3/2024","FT","Sheffield United","0","6","Arsenal","29,980"
"","","","","","Ødegaard (5'), Bogle (13' og), Martinelli (15'), Havertz (25'), Rice (39'), White (58')",""
"9/3/2024","FT","AFC Bournemouth","2","2","Sheffield United","11,074"
"","","Ouattara (74'), Unal (90+2')","","","Hamer (28'), Robinson (65')",""
"9/3/2024","FT","Arsenal","2","1","Brentford","60,331"
"","","Rice (19'), Havertz (86')","","","Wissa (45+4')",""
"9/3/2024","FT","Crystal Palace","1","1","Luton Town","25,103"
"","","Mateta (10')","","","Woodrow (90+6')",""
"9/3/2024","FT","Manchester United","2","0","Everton","73,601"
"","","Fernandes (12' pen), Rashford (36' pen)","","","",""
"9/3/2024","FT","Wolverhampton Wanderers","2","1","Fulham","30,860"
"","","Aït Nouri (52'), Semedo (67')","","","Iwobi (90+8')",""
"10/3/2024","FT","Aston Villa","0","4","Tottenham Hotspur","42,310"
"","","","","","Maddison (50'), Johnson (54'), Son (90+1'), Werner (90+5')",""
"10/3/2024","FT","Brighton & Hove Albion","1","0","Nottingham Forest","31,505"
"","","Omobamidele (29' og)","","","",""
"10/3/2024","FT","Liverpool","1","1","Manchester City","59,947"
"","","Mac Allister (48' pen)","","","Stones (24')",""
"10/3/2024","FT","West Ham United","2","2","Burnley","62,441"
"","","Paqueta (46'), Ings (90+2')","","","Datro Fofana (12'), Mavropanos (45+2' og)",""
"11/3/2024","FT","Chelsea","3","2","Newcastle United","38,752"
"","","Jackson (7'), Palmer (58'), Mudryk (76')","","","Isak (43'), Murphy (90')",""
"13/3/2024","FT","AFC Bournemouth","4","3","Luton Town","11,198"
"","","Solanke (50'), Semenyo (62', 64', 84')","","","Chong (9'), Ogbene (31'), Barkley (45+1')",""
"16/3/2024","FT","Burnley","2","1","Brentford","20,431"
"","","Bruun Larsen (10' pen), Datro Fofana (62')","","","Ajer (83')",""
"16/3/2024","FT","Fulham","3","0","Tottenham Hotspur","24,410"
"","","Muniz (42', 61'), Lukic (49')","","","",""
"16/3/2024","FT","Luton Town","1","1","Nottingham Forest","11,630"
"","","Berry (90')","","","Wood (34')",""
"17/3/2024","FT","West Ham United","1","1","Aston Villa","62,461"
"","","Antonio (29')","","","Zaniolo (79')",""
"30/3/2024","FT","AFC Bournemouth","2","1","Everton","11,207"
"","","Solanke (64'), Coleman (90+1' og)","","","",""
"30/3/2024","FT","Aston Villa","2","0","Wolverhampton Wanderers","42,640"
"","","Diaby (36'), Durán (65')","","","",""
"30/3/2024","FT","Brentford","1","1","Manchester United","17,138"
"","","Ajer (90+9')","","","Mount (90+7')",""
"30/3/2024","FT","Chelsea","2","2","Burnley","39,535"
"","","Palmer (44' pen, 78')","","","Cullen (48'), O'Shea (81')",""
"30/3/2024","FT","Newcastle United","4","3","West Ham United","52,199"
"","","Isak (5' pen, 77' pen), Barnes (83', 90+1')","","","Antonio (21'), Mohammed (45+10'), Bowen (48')",""
"30/3/2024","FT","Nottingham Forest","1","1","Crystal Palace","29,520"
"","","Wood (61')","","","Mateta (11')",""
"30/3/2024","FT","Sheffield United","3","3","Fulham","30,010"
"","","Brereton (58', 69'), McBurnie (68')","","","Palhinha (62'), Reid (85'), Muniz (90+3')",""
"30/3/2024","FT","Tottenham Hotspur","2","1","Luton Town","61,534"
"","","Kabore (51' og), Son (86')","","","Chong (3')",""
"31/3/2024","FT","Liverpool","2","1","Brighton & Hove Albion","60,061"
"","","Diaz (27'), Salah (65')","","","Welbeck (2')",""
"31/3/2024","FT","Manchester City","0","0","Arsenal","53,533"
