"Date","Status","Home","Score","","Away","Attd"
"15/12/2023","FT","Nottingham Forest","0","2","Tottenham Hotspur","29,296"
"","","","","","Richarlison (45+2'), Kulusevski (65')",""
"16/12/2023","","AFC Bournemouth","A","A","Luton Town",""
"","","Solanke (58')","","","Adebayo (3')",""
"16/12/2023","FT","Burnley","0","2","Everton","21,413"
"","","","","","Onana (19'), Keane (26')",""
"16/12/2023","FT","Chelsea","2","0","Sheffield United","39,599"
"","","Palmer (55'), Jackson (61')","","","",""
"16/12/2023","FT","Manchester City","2","2","Crystal Palace","53,112"
"","","Grealish (24'), Lewis (54')","","","Mateta (76'), Olise (90+3' pen)",""
"16/12/2023","FT","Newcastle United","3","0","Fulham","52,055"
"","","Miley (57'), Almiron (64'), Burn (82')","","","",""
"17/12/2023","FT","Arsenal","2","0","Brighton & Hove Albion","60,257"
"","","Jesus (53'), Havertz (87')","","","",""
"17/12/2023","FT","Brentford","1","2","Aston Villa","17,034"
"","","Lewis-Potter (45+1')","","","Moreno (77'), Watkins (85')",""
"17/12/2023","FT","Liverpool","0","0","Manchester United","57,158"
"17/12/2023","FT","West Ham United","3","0","Wolverhampton Wanderers","62,455"
"","","Mohammed (23', 32'), Bowen (74')","","","",""
"21/12/2023","FT","Crystal Palace","1","1","Brighton & Hove Albion","24,171"
"","","Ayew (45+1')","","","Welbeck (82')",""
"22/12/2023","FT","Aston Villa","1","1","Sheffield United","41,651"
"","","Zaniolo (90+8')","","","Archer (87')",""
"23/12/2023","FT","Fulham","0","2","Burnley","23,598"
"","","","","","Odobert (47'), Berge (67')",""
"23/12/2023","FT","Liverpool","1","1","Arsenal","57,548"
"","","Salah (29')","","","Gabriel (4')",""
"23/12/2023","FT","Luton Town","1","0","Newcastle United","11,042"
"","","Townsend (25')","","","",""
"23/12/2023","FT","Nottingham Forest","2","3","AFC Bournemouth","29,188"
"","","Elanga (46'), Wood (74')","","","Solanke (50', 57', 90+3')",""
"23/12/2023","FT","Tottenham Hotspur","2","1","Everton","61,808"
"","","Richarlison (10'), Son (18')","","","Gomes (82')",""
"23/12/2023","FT","West Ham United","2","0","Manchester United","62,472"
"","","Bowen (72'), Mohammed (78')","","","",""
"24/12/2023","FT","Wolverhampton Wanderers","2","1","Chelsea","31,641"
"","","Lemina (51'), Doherty (90+3')","","","Nkunku (90+6')",""
"26/12/2023","FT","AFC Bournemouth","3","0","Fulham","11,099"
"","","Kluivert (44'), Solanke (62' pen), Sinisterra (90+4')","","","",""
"26/12/2023","FT","Burnley","0","2","Liverpool","21,624"
"","","","","","Nuñez (6'), Jota (90')",""
"26/12/2023","FT","Manchester United","3","2","Aston Villa","73,574"
"","","Garnacho (59', 71'), Winther Højlund (82')","","","McGinn (22'), Dendoncker (27')",""
"26/12/2023","FT","Newcastle United","1","3","Nottingham Forest","52,207"
"","","Isak (23' pen)","","","Wood (45+1', 53', 60')",""
"26/12/2023","FT","Sheffield United","2","3","Luton Town","31,041"
"","","McBurnie (61'), McAtee (69')","","","Doughty (17'), Robinson (77' og), Trusty (82' og)",""
"27/12/2023","FT","Brentford","1","4","Wolverhampton Wanderers","17,109"
"","","Wissa (16')","","","Lemina (13'), Hwang (15', 28'), Bellegarde (79')",""
"27/12/2023","FT","Chelsea","2","1","Crystal Palace","39,618"
"","","Mudryk (13'), Madueke (88' pen)","","","Olise (45+1')",""
"27/12/2023","FT","Everton","1","3","Manchester City","39,327"
"","","Harrison (29')","","","Foden (53'), Álvarez (62' pen), Silva (87')",""
"28/12/2023","FT","Arsenal","0","2","West Ham United","60,261"
"","","","","","Soucek (13'), Mavropanos (56')",""
"28/12/2023","FT","Brighton & Hove Albion","4","2","Tottenham Hotspur","31,675"
"","","Hinshelwood (12'), Pedro (23' pen, 74' pen), Estupinan (64')","","","Veliz (81'), Davies (86')",""
"30/12/2023","FT","Aston Villa","3","2","Burnley","41,613"
"","","Bailey (29'), Diaby (42'), Luiz (89' pen)","","","Amdouni (31'), Foster (72')",""
"30/12/2023","FT","Crystal Palace","3","1","Brentford","25,472"
"","","Olise (14', 58'), Eze (39')","","","Lewis-Potter (2')",""
"30/12/2023","FT","Luton Town","2","3","Chelsea","11,041"
"","","Barkley (80'), Adebayo (86')","","","Palmer (12', 69'), Madueke (37')",""
"30/12/2023","FT","Manchester City","2","0","Sheffield United","53,108"
"","","Rodri (14'), Álvarez (61')","","","",""
"30/12/2023","FT","Nottingham Forest","2","1","Manchester United","29,529"
"","","Dominguez (64'), Gibbs-White (83')","","","Rashford (78')",""
"30/12/2023","FT","Wolverhampton Wanderers","3","0","Everton","31,639"
"","","Kilman (25'), Cunha (53'), Dawson (61')","","","",""
"31/12/2023","FT","Fulham","2","1","Arsenal","24,444"
"","","Jimenez (29'), Reid (60')","","","Saka (5')",""
"31/12/2023","FT","Tottenham Hotspur","3","1","AFC Bournemouth","61,780"
"","","Matar Sarr (9'), Son (72'), Richarlison (80')","","","Scott (84')",""
