"Date","Status","Home","Score","","Away","Attd"
"2/12/2023","FT","Arsenal","2","1","Wolverhampton Wanderers","60,262"
"","","Saka (6'), Ødegaard (13')","","","Cunha (86')",""
"2/12/2023","FT","Brentford","3","1","Luton Town","17,075"
"","","Maupay (50'), Morris (57' og), Baptiste (82')","","","Brown (77')",""
"2/12/2023","FT","Burnley","5","0","Sheffield United","21,488"
"","","Rodriguez (1'), Bruun Larsen (29'), Amdouni (73'), Koleosho (75'), Brownhill (81')","","","",""
"2/12/2023","FT","Newcastle United","1","0","Manchester United","52,214"
"","","Gordon (56')","","","",""
"2/12/2023","FT","Nottingham Forest","0","1","Everton","29,404"
"","","","","","McNeil (67')",""
"3/12/2023","FT","AFC Bournemouth","2","2","Aston Villa","11,191"
"","","Semenyo (10'), Solanke (52')","","","Bailey (20'), Watkins (90+1')",""
"3/12/2023","FT","Chelsea","3","2","Brighton & Hove Albion","39,647"
"","","Fernandez (17', 64' pen), Colwill (21')","","","Buonanotte (43'), Pedro (90+2')",""
"3/12/2023","FT","Liverpool","4","3","Fulham","50,143"
"","","Alexander-Arnold (20', 89'), Mac Allister (39'), Endo (87')","","","Wilson (25'), Tete (45+3'), Reid (80')",""
"3/12/2023","FT","Manchester City","3","3","Tottenham Hotspur","53,473"
"","","Son (9' og), Foden (31'), Grealish (81')","","","Son (6'), Lo Celso (69'), Kulusevski (90')",""
"3/12/2023","FT","West Ham United","1","1","Crystal Palace","62,459"
"","","Mohammed (14')","","","Edouard (53')",""
"5/12/2023","FT","Luton Town","3","4","Arsenal","11,112"
"","","Osho (25'), Adebayo (50'), Barkley (57')","","","Martinelli (21'), Jesus (45'), Havertz (60'), Rice (90+7')",""
"5/12/2023","FT","Wolverhampton Wanderers","1","0","Burnley","30,439"
"","","Hwang (43')","","","",""
"6/12/2023","FT","Aston Villa","1","0","Manchester City","42,321"
"","","Bailey (74')","","","",""
"6/12/2023","FT","Brighton & Hove Albion","2","1","Brentford","30,760"
"","","Gro (31'), Hinshelwood (53')","","","",""
"6/12/2023","FT","Crystal Palace","0","2","AFC Bournemouth","24,104"
"","","","","","Senesi (25'), Moore (90+1')",""
"6/12/2023","FT","Fulham","5","0","Nottingham Forest","24,105"
"","","Iwobi (30', 74'), Jimenez (34', 55'), Cairney (86')","","","",""
"6/12/2023","FT","Manchester United","2","1","Chelsea","73,607"
"","","McTominay (19', 70')","","","Palmer (45')",""
"6/12/2023","FT","Sheffield United","0","2","Liverpool","31,406"
"","","","","","van Dijk (37'), Szoboszlai (90+5')",""
"7/12/2023","FT","Everton","3","0","Newcastle United","38,198"
"","","McNeil (79'), Doucoure (86')","","","",""
"7/12/2023","FT","Tottenham Hotspur","1","2","West Ham United","60,733"
"","","Romero (11')","","","Bowen (52'), Ward-Prowse (74')",""
"9/12/2023","FT","Aston Villa","1","0","Arsenal","42,000"
"","","McGinn (7')","","","",""
"9/12/2023","FT","Brighton & Hove Albion","1","1","Burnley","31,511"
"","","Adingra (77')","","","Odobert (45')",""
"9/12/2023","FT","Crystal Palace","1","2","Liverpool","25,103"
"","","Mateta (57' pen)","","","Salah (76'), Elliott (90+1')",""
"9/12/2023","FT","Manchester United","0","3","AFC Bournemouth","73,427"
"","","","","","Solanke (5'), Billing (69'), Senesi (74')",""
"9/12/2023","FT","Sheffield United","1","0","Brentford","28,509"
"","","McAtee (45+1')","","","",""
"9/12/2023","FT","Wolverhampton Wanderers","1","1","Nottingham Forest","31,543"
"","","Cunha (32')","","","Toffolo (14')",""
"10/12/2023","FT","Everton","2","0","Chelsea","39,280"
"","","Doucoure (55'), Dobbin (90+2')","","","",""
"10/12/2023","FT","Fulham","5","0","West Ham United","23,988"
"","","Jimenez (22'), Willian (31'), Adarabioyo (41'), Wilson (60'), Vinícius (89')","","","",""
"10/12/2023","FT","Luton Town","1","2","Manchester City","11,047"
"","","Adebayo (45+2')","","","Silva (62'), Grealish (66')",""
"10/12/2023","FT","Tottenham Hotspur","4","1","Newcastle United","61,171"
"","","Udogie (26'), Richarlison (38', 61'), Son (84' pen)","","","Joelinton (90+2')",""
