"Date","Status","Home","Score","","Away","Attd"
"4/11/2023","FT","Brentford","3","2","West Ham United","17,103"
"","","Maupay (11'), Mavropanos (55' og), Collins (70')","","","Mohammed (19'), Bowen (26')",""
"4/11/2023","FT","Burnley","0","2","Crystal Palace","21,578"
"","","","","","Schlupp (22'), Mitchell (90+5')",""
"4/11/2023","FT","Everton","1","1","Brighton & Hove Albion","38,683"
"","","Mykolenko (7')","","","Young (84' og)",""
"4/11/2023","FT","Fulham","0","1","Manchester United","24,415"
"","","","","","Fernandes (90+1')",""
"4/11/2023","FT","Manchester City","6","1","AFC Bournemouth","53,358"
"","","Doku (30', 37'), Silva (33', 84'), Foden (64'), Ake (89')","","","Sinisterra (74')",""
"4/11/2023","FT","Newcastle United","1","0","Arsenal","52,194"
"","","Gordon (64')","","","",""
"4/11/2023","FT","Sheffield United","2","1","Wolverhampton Wanderers","29,454"
"","","Archer (72'), Norwood (90+10' pen)","","","Bellegarde (89')",""
"5/11/2023","FT","Luton Town","1","1","Liverpool","11,049"
"","","Chong (81')","","","Diaz (90+5')",""
"5/11/2023","FT","Nottingham Forest","2","0","Aston Villa","29,313"
"","","Aina (5'), Mangala (47')","","","",""
"6/11/2023","FT","Tottenham Hotspur","1","4","Chelsea","61,726"
"","","Kulusevski (6')","","","Palmer (35' pen), Jackson (75', 90+4', 90+8')",""
"11/11/2023","FT","AFC Bournemouth","2","0","Newcastle United","11,201"
"","","Solanke (60', 73')","","","",""
"11/11/2023","FT","Arsenal","3","1","Burnley","60,232"
"","","Trossard (45+1'), Saliba (58'), Zinchenko (74')","","","Brownhill (54')",""
"11/11/2023","FT","Crystal Palace","2","3","Everton","25,103"
"","","Eze (4' pen), Edouard (74')","","","Mykolenko (2'), Doucoure (50')",""
"11/11/2023","FT","Manchester United","1","0","Luton Town","73,599"
"","","Lindelof (59')","","","",""
"11/11/2023","FT","Wolverhampton Wanderers","2","1","Tottenham Hotspur","31,642"
"","","Sarabia (90+1'), Lemina (90+7')","","","Johnson (3')",""
"12/11/2023","FT","Aston Villa","3","1","Fulham","41,608"
"","","Diaby (27'), McGinn (42'), Watkins (64')","","","Jimenez (70')",""
"12/11/2023","FT","Brighton & Hove Albion","1","1","Sheffield United","31,367"
"","","Adingra (5')","","","Paul van Hecke (73' og)",""
"12/11/2023","FT","Chelsea","4","4","Manchester City","39,532"
"","","Silva (29'), Sterling (37'), Jackson (67'), Palmer (90+5' pen)","","","Braut Haaland (25' pen, 47'), Akanji (45+1'), Rodri (86')",""
"12/11/2023","FT","Liverpool","3","0","Brentford","50,151"
"","","Salah (39', 63'), Jota (74')","","","",""
"12/11/2023","FT","West Ham United","3","2","Nottingham Forest","62,470"
"","","Paqueta (3'), Bowen (66'), Soucek (88')","","","Awoniyi (45'), Murillo (64')",""
"25/11/2023","FT","Brentford","0","1","Arsenal","17,201"
"","","","","","Havertz (88')",""
"25/11/2023","FT","Burnley","1","2","West Ham United","21,319"
"","","Rodriguez (48' pen)","","","Mubama (86'), Soucek (90+1')",""
"25/11/2023","FT","Luton Town","2","1","Crystal Palace","11,029"
"","","Mengi (72'), Brown (84')","","","Olise (75')",""
"25/11/2023","FT","Manchester City","1","1","Liverpool","53,289"
"","","Braut Haaland (27')","","","Alexander-Arnold (80')",""
"25/11/2023","FT","Newcastle United","4","1","Chelsea","52,227"
"","","Isak (13'), Lascelles (60'), Joelinton (61'), Gordon (84')","","","Sterling (23')",""
"25/11/2023","FT","Nottingham Forest","2","3","Brighton & Hove Albion","29,404"
"","","Elanga (3'), Gibbs-White (73' pen)","","","Ferguson (26'), Pedro (45+4', 56' pen)",""
"25/11/2023","FT","Sheffield United","1","3","AFC Bournemouth","30,208"
"","","McBurnie (90+7')","","","Tavernier (12', 51'), Kluivert (45+4')",""
"26/11/2023","FT","Everton","0","3","Manchester United","39,257"
"","","","","","Garnacho (3'), Rashford (56' pen), Martial (75')",""
"26/11/2023","FT","Tottenham Hotspur","1","2","Aston Villa","61,679"
"","","Lo Celso (22')","","","Torres (45+7'), Watkins (62')",""
"27/11/2023","FT","Fulham","3","2","Wolverhampton Wanderers","24,366"
"","","Iwobi (8'), Willian (58' pen, 90+3' pen)","","","Cunha (22'), Hwang (75' pen)",""
