"Date","Status","Home","Score","","Away","Attd"
"1/1/2024","FT","Liverpool","4","2","Newcastle United","57,471"
"","","Salah (49', 86' pen), Jones (74'), Gakpo (78')","","","Isak (54'), Botman (82')",""
"2/1/2024","FT","West Ham United","0","0","Brighton & Hove Albion","62,462"
"12/1/2024","FT","Burnley","1","1","Luton Town","20,155"
"","","Amdouni (37')","","","Morris (90+3')",""
"13/1/2024","FT","Chelsea","1","0","Fulham","39,643"
"","","Palmer (45+3' pen)","","","",""
"13/1/2024","FT","Newcastle United","2","3","Manchester City","52,190"
"","","Isak (35'), Gordon (37')","","","Silva (26'), De Bruyne (74'), Bobb (90+1')",""
"14/1/2024","FT","Everton","0","0","Aston Villa","39,284"
"14/1/2024","FT","Manchester United","2","2","Tottenham Hotspur","73,489"
"","","Winther Højlund (3'), Rashford (40')","","","Richarlison (19'), Bentancur (47')",""
"20/1/2024","FT","Arsenal","5","0","Crystal Palace","60,284"
"","","Gabriel (11', 37'), Trossard (59'), Martinelli (90+4', 90+5')","","","",""
"20/1/2024","FT","Brentford","3","2","Nottingham Forest","17,077"
"","","Toney (19'), Mee (59'), Maupay (68')","","","Danilo (3'), Wood (65')",""
"21/1/2024","FT","AFC Bournemouth","0","4","Liverpool","11,228"
"","","","","","Nuñez (49', 90+3'), Jota (71', 80')",""
"21/1/2024","FT","Sheffield United","2","2","West Ham United","29,164"
"","","Brereton (44'), McBurnie (90+13' pen)","","","Cornet (29'), Ward-Prowse (78' pen)",""
"22/1/2024","FT","Brighton & Hove Albion","0","0","Wolverhampton Wanderers","31,505"
"30/1/2024","FT","Aston Villa","1","3","Newcastle United","42,191"
"","","Watkins (71')","","","Schar (32', 36'), Murphy (52')",""
"30/1/2024","FT","Crystal Palace","3","2","Sheffield United","24,781"
"","","Eze (17', 28'), Olise (67')","","","Brereton (1'), McAtee (20')",""
"30/1/2024","FT","Fulham","0","0","Everton","24,376"
"30/1/2024","FT","Luton Town","4","0","Brighton & Hove Albion","10,994"
"","","Adebayo (1', 42', 56'), Ogbene (3')","","","",""
"30/1/2024","FT","Nottingham Forest","1","2","Arsenal","29,387"
"","","Awoniyi (89')","","","Jesus (65'), Saka (72')",""
"31/1/2024","FT","Liverpool","4","1","Chelsea","57,524"
"","","Jota (23'), Bradley (39'), Szoboszlai (65'), Diaz (79')","","","Nkunku (71')",""
"31/1/2024","FT","Manchester City","3","1","Burnley","52,143"
"","","Álvarez (16', 22'), Rodri (46')","","","Al Dakhil (90+3')",""
"31/1/2024","FT","Tottenham Hotspur","3","2","Brentford","61,210"
"","","Udogie (48'), Johnson (50'), Richarlison (56')","","","Maupay (15'), Toney (67')",""
