"Date","Status","Home","Score","","Away","Attd"
"1/9/2023","FT","Luton Town","1","2","West Ham United","10,802"
"","","Juel Andersen (90')","","","Bowen (37'), Zouma (85')",""
"2/9/2023","FT","Brentford","2","2","AFC Bournemouth","16,973"
"","","Jensen (8')","","","Solanke (31'), Brooks (77')",""
"2/9/2023","FT","Brighton & Hove Albion","3","1","Newcastle United","31,620"
"","","Ferguson (27', 65', 70')","","","Wilson (90')",""
"2/9/2023","FT","Burnley","2","5","Tottenham Hotspur","21,750"
"","","Foster (5'), Brownhill (90')","","","Son (16', 63', 66'), Romero (45'), Maddison (54')",""
"2/9/2023","FT","Chelsea","0","1","Nottingham Forest","39,820"
"","","","","","Elanga (49')",""
"2/9/2023","FT","Manchester City","5","1","Fulham","52,899"
"","","Álvarez (31'), Ake (45'), Braut Haaland (59', 68' pen, 90')","","","Ream (33')",""
"2/9/2023","FT","Sheffield United","2","2","Everton","31,124"
"","","Archer (33'), Pickford (45' og)","","","Doucoure (14'), Danjuma (54')",""
"3/9/2023","FT","Arsenal","3","1","Manchester United","60,192"
"","","Ødegaard (29'), Rice (90'), Jesus (90')","","","Rashford (27')",""
"3/9/2023","FT","Crystal Palace","3","2","Wolverhampton Wanderers","24,741"
"","","Edouard (57', 84'), Eze (79')","","","Hwang (65'), Cunha (90')",""
"3/9/2023","FT","Liverpool","3","0","Aston Villa","50,109"
"","","Szoboszlai (3'), Cash (22' og), Salah (55')","","","",""
"16/9/2023","FT","Aston Villa","3","1","Crystal Palace","40,809"
"","","Durán (88'), Luiz (90' pen), Bailey (90')","","","Edouard (48')",""
"16/9/2023","FT","Fulham","1","0","Luton Town","24,467"
"","","Vinícius (65')","","","",""
"16/9/2023","FT","Manchester United","1","3","Brighton & Hove Albion","73,592"
"","","Mejbri (74')","","","Welbeck (21'), Gro (53'), Pedro (72')",""
"16/9/2023","FT","Newcastle United","1","0","Brentford","51,670"
"","","Wilson (64' pen)","","","",""
"16/9/2023","FT","Tottenham Hotspur","2","1","Sheffield United","61,706"
"","","Richarlison (90+8'), Kulusevski (90+10')","","","Hamer (73')",""
"16/9/2023","FT","West Ham United","1","3","Manchester City","62,475"
"","","Ward-Prowse (36')","","","Doku (46'), Silva (76'), Braut Haaland (87')",""
"","Aggregate: 1-3","","","",""
"16/9/2023","FT","Wolverhampton Wanderers","1","3","Liverpool","31,257"
"","","Hwang (7')","","","Gakpo (55'), Robertson (86'), Elliott (90')",""
"17/9/2023","FT","AFC Bournemouth","0","0","Chelsea","10,421"
"17/9/2023","FT","Everton","0","1","Arsenal","39,217"
"","","","","","Trossard (69')",""
"18/9/2023","FT","Nottingham Forest","1","1","Burnley","28,958"
"","","Hudson-Odoi (61')","","","Amdouni (41')",""
"23/9/2023","FT","Brentford","1","3","Everton","16,981"
"","","Jensen (28')","","","Doucoure (6'), Tarkowski (67'), Calvert-Lewin (71')",""
"23/9/2023","FT","Burnley","0","1","Manchester United","21,720"
"","","","","","Fernandes (45+1')",""
"23/9/2023","FT","Crystal Palace","0","0","Fulham","25,072"
"23/9/2023","FT","Luton Town","1","1","Wolverhampton Wanderers","10,893"
"","","Morris (65' pen)","","","Neto (50')",""
"23/9/2023","FT","Manchester City","2","0","Nottingham Forest","53,413"
"","","Foden (7'), Braut Haaland (14')","","","",""
"24/9/2023","FT","Arsenal","2","2","Tottenham Hotspur","60,156"
"","","Romero (26' og), Saka (53' pen)","","","Son (42', 55')",""
"24/9/2023","FT","Brighton & Hove Albion","3","1","AFC Bournemouth","31,617"
"","","Kerkez (45+2' og), Mitoma (46', 77')","","","Solanke (25')",""
"24/9/2023","FT","Chelsea","0","1","Aston Villa","39,700"
"","","","","","Watkins (73')",""
"24/9/2023","FT","Liverpool","3","1","West Ham United","50,136"
"","","Salah (16' pen), Nuñez (60'), Jota (85')","","","Bowen (42')",""
"24/9/2023","FT","Sheffield United","0","8","Newcastle United","30,568"
"","","","","","Longstaff (21'), Burn (31'), Botman (35'), Wilson (56'), Gordon (62'), Almiron (68'), Guimaraes (73'), Isak (87')",""
"30/9/2023","FT","AFC Bournemouth","0","4","Arsenal","11,193"
"","","","","","Saka (17'), Ødegaard (43' pen), Havertz (52' pen), White (90+3')",""
"30/9/2023","FT","Aston Villa","6","1","Brighton & Hove Albion","40,636"
"","","Watkins (14', 21', 65'), Estupinan (26' og), Ramsey (85'), Luiz (90+7')","","","Fati (50')",""
"30/9/2023","FT","Everton","1","2","Luton Town","39,289"
"","","Calvert-Lewin (45')","","","Lockyer (25'), Morris (31')",""
"30/9/2023","FT","Manchester United","0","1","Crystal Palace","73,428"
"","","","","","Andersen (26')",""
"30/9/2023","FT","Newcastle United","2","0","Burnley","52,163"
"","","Almiron (14'), Isak (76' pen)","","","",""
"30/9/2023","FT","Tottenham Hotspur","2","1","Liverpool","62,001"
"","","Son (36'), Matip (90+6' og)","","","Gakpo (45+4')",""
"30/9/2023","FT","West Ham United","2","0","Sheffield United","62,459"
"","","Bowen (24'), Soucek (37')","","","",""
"30/9/2023","FT","Wolverhampton Wanderers","2","1","Manchester City","31,415"
"","","Neto (13'), Hwang (66')","","","Álvarez (59')",""
