"Date","Status","Home","Score","","Away","Attd"
"2/5/2024","FT","Chelsea","2","0","Tottenham Hotspur","39,086"
"","","Chalobah (25'), Jackson (73')","","","",""
"3/5/2024","FT","Luton Town","1","1","Everton","11,873"
"","","Adebayo (31')","","","Calvert-Lewin (23' pen)",""
"4/5/2024","FT","Arsenal","3","0","AFC Bournemouth","60,348"
"","","Saka (42' pen), Trossard (70'), Rice (90+7')","","","",""
"4/5/2024","FT","Brentford","0","0","Fulham","17,090"
"4/5/2024","FT","Burnley","1","4","Newcastle United","21,781"
"","","O'Shea (87')","","","Wilson (19'), Longstaff (35'), Guimaraes (40'), Isak (55')",""
"4/5/2024","FT","Manchester City","5","1","Wolverhampton Wanderers","52,439"
"","","Braut Haaland (12' pen, 35', 45+3' pen, 54'), Álvarez (85')","","","Hwang (53')",""
"4/5/2024","FT","Sheffield United","1","3","Nottingham Forest","28,516"
"","","Brereton (16' pen)","","","Hudson-Odoi (27', 65'), Yates (51')",""
"5/5/2024","FT","Brighton & Hove Albion","1","0","Aston Villa","31,596"
"","","Pedro (87')","","","",""
"5/5/2024","FT","Chelsea","5","0","West Ham United","39,295"
"","","Palmer (15'), Gallagher (30'), Madueke (36'), Jackson (48', 81')","","","",""
"5/5/2024","FT","Liverpool","4","2","Tottenham Hotspur","60,075"
"","","Salah (16'), Robertson (45'), Gakpo (50'), Elliott (59')","","","Richarlison (72'), Son (77')",""
"6/5/2024","FT","Crystal Palace","4","0","Manchester United","25,190"
"","","Olise (13', 67'), Mateta (40'), Mitchell (58')","","","",""
"11/5/2024","FT","AFC Bournemouth","1","2","Brentford","11,154"
"","","Solanke (90')","","","Wissa (90+5')",""
"11/5/2024","FT","Everton","1","0","Sheffield United","39,221"
"","","Doucoure (31')","","","",""
"11/5/2024","FT","Fulham","0","4","Manchester City","24,418"
"","","","","","Gvardiol (13', 71'), Foden (59'), Álvarez (90+7' pen)",""
"11/5/2024","FT","Newcastle United","1","1","Brighton & Hove Albion","51,997"
"","","Longstaff (45+5')","","","Veltman (18')",""
"11/5/2024","FT","Nottingham Forest","2","3","Chelsea","29,708"
"","","Boly (16'), Hudson-Odoi (75')","","","Mudryk (8'), Sterling (80'), Jackson (82')",""
"11/5/2024","FT","Tottenham Hotspur","2","1","Burnley","61,148"
"","","Porro (32'), van de Ven (82')","","","Bruun Larsen (25')",""
"11/5/2024","FT","West Ham United","3","1","Luton Town","62,475"
"","","Ward-Prowse (54'), Soucek (66'), Earthy (77')","","","Sambi Lokonga (6')",""
"11/5/2024","FT","Wolverhampton Wanderers","1","3","Crystal Palace","31,424"
"","","Cunha (68')","","","Olise (26'), Mateta (29'), Eze (73')",""
"12/5/2024","FT","Manchester United","0","1","Arsenal","73,600"
"","","","","","Trossard (20')",""
"13/5/2024","FT","Aston Villa","3","3","Liverpool","42,241"
"","","Tielemans (12'), Durán (85', 89')","","","Martinez (2' og), Gakpo (23'), Quansah (48')",""
"14/5/2024","FT","Tottenham Hotspur","0","2","Manchester City","61,065"
"","","","","","Braut Haaland (52', 90+1' pen)",""
"15/5/2024","FT","Brighton & Hove Albion","1","2","Chelsea","31,555"
"","","Welbeck (90+8')","","","Palmer (34'), Nkunku (64')",""
"15/5/2024","FT","Manchester United","3","2","Newcastle United","73,582"
"","","Mainoo (32'), Traore (58'), Winther Højlund (84')","","","Gordon (49'), Hall (90+2')",""
"19/5/2024","FT","Arsenal","2","1","Everton","60,312"
"","","Tomiyasu (44'), Havertz (89')","","","",""
"19/5/2024","FT","Brentford","2","4","Newcastle United","17,124"
"","","Janelt (49'), Wissa (70')","","","Barnes (22'), Isak (37', 38'), Guimaraes (77')",""
"19/5/2024","FT","Brighton & Hove Albion","0","2","Manchester United","31,662"
"","","","","","Dalot (74'), Winther Højlund (88')",""
"19/5/2024","FT","Burnley","1","2","Nottingham Forest","21,109"
"","","Cullen (72')","","","Wood (2', 14')",""
"19/5/2024","FT","Chelsea","2","1","AFC Bournemouth","39,724"
"","","Caicedo (17'), Sterling (48')","","","Unal (50')",""
"19/5/2024","FT","Crystal Palace","5","0","Aston Villa","25,191"
"","","Mateta (9', 39', 64'), Eze (54', 69')","","","",""
"19/5/2024","FT","Liverpool","2","0","Wolverhampton Wanderers","60,059"
"","","Mac Allister (34'), Quansah (40')","","","",""
"19/5/2024","FT","Luton Town","2","4","Fulham","12,027"
"","","Morris (45+2' pen), Doughty (55')","","","Traore (44'), Jimenez (45+3', 50'), Wilson (69')",""
"19/5/2024","FT","Manchester City","3","1","West Ham United","55,097"
"","","Foden (2', 18'), Rodri (59')","","","Mohammed (43')",""
"19/5/2024","FT","Sheffield United","0","3","Tottenham Hotspur","29,116"
"","","","","","Kulusevski (15', 65'), Porro (60')",""
