"Match","Position","Points"
"1","4","3"
"2","3","6"
"3","3","9"
"4","3","12"
"5","4","12"
"6","4","13"
"7","6","13"
"8","9","13"
"9","7","16"
"10","7","19"
"11","8","19"
"12","7","20"
"13","9","20"
"14","10","20"
"15","11","20"
"16","12","21"
"17","10","24"
"18","7","27"
"19","9","27"
"20","9","28"
"21","8","29"
"22","7","32"
"23","7","33"
"24","9","33"
"25","8","34"
"26","8","37"
"27","7","40"
"28","8","40"
"29","8","43"
"30","8","43"
"31","10","43"
"32","8","46"
"33","10","46"
"34","7","49"
"35","7","50"
"36","9","50"
"37","10","50"
"38","11","50"
